example,modification
12,
13,
14,
18,
24,no right response
32,increased
33,increased
44,distinct
47,hypercholesterolemia or hypercholesteremia
48,hypercholesterolemia or hypercholesteremia
49,hypercholesterolemia or hypercholesteremia
50,hypercholesterolemia or hypercholesteremia
51,hypercholesterolemia or hypercholesteremia
99,
105,
112,
162,
173,
174,
175,
182,
196,intubated
197,intubation
198,femoral
199,femorals
230,
232,
233,
249,
250,
251,
252,
259,
263,no right response
264,no right response
268,
270,
271,
273,pleurodeses
278,hematocrit
280,drainage or drainages
281,drainage or drainages
282,drainage or drainages
283,drainage or drainages
284,participate
315,persistent or persisting
316,persistent or persisting
317,persistently
322,
341,
342,
343,
344,
363,
364,
373,
392,hypercarbia or hypercarbic
412,
425,
459,agitation
461,agitation
491,
512,
513,
514,
515,
516,
564,
565,
566,
568,
592,secondary
594,no right response
601,arrhythmia
603,
622,
627,
628,
629,
645,bronchodilators
658,
659,
660,
664,
674,
685,
690,
691,
692,
693,
694,
603,
713,
715,unit
718,
722,
729,
730,
731,
738,
739,degenerative
750,
756,
758,sclerosing or sclerosis
787,
819,
823,
824,
837,
838,
